机器人,初始进度-日榜（仅每日首次进入排行榜时计算）,初始进度-周榜（仅本周首次进入排行榜）,初始进度-总榜(仅首次进入排行榜时计算）,每小时增量,变更概率,玩家时段,中断概率
1,"[0,2]","[0,15]","[800,1000]","[0,15]",50,0,30
2,"[0,2]","[0,15]","[800,1000]","[0,14]",50,0,30
3,"[0,2]","[0,15]","[800,1000]","[0,13]",50,0,30
4,"[0,2]","[0,15]","[600,800]","[0,12]",40,0,30
5,"[0,2]","[0,15]","[600,800]","[0,11]",40,0,30
6,"[0,1]","[0,15]","[600,800]","[0,10]",40,0,30
7,"[0,1]","[0,15]","[600,800]","[0,9]",30,0,30
8,"[0,1]","[0,15]","[600,800]","[0,8]",30,0,30
9,"[0,1]","[0,15]","[600,800]","[0,7]",30,0,30
10,"[0,1]","[0,15]","[600,800]","[0,6]",30,0,20
11,"[0,1]","[0,15]","[600,800]","[0,5]",30,0,20
12,"[0,1]","[0,15]","[600,800]","[0,4]",30,0,20
13,"[0,1]","[0,15]","[600,800]","[0,3]",30,0,20
14,"[0,1]","[0,15]","[600,800]","[0,2]",30,0,20
15,"[0,1]","[0,15]","[600,800]","[0,1]",30,0,20
16,"[0,1]","[0,15]","[600,800]","[0,15]",30,0,20
17,"[0,1]","[0,15]","[600,800]","[0,14]",30,0,20
18,"[0,1]","[0,15]","[600,800]","[0,13]",30,0,20
19,"[0,1]","[0,15]","[600,800]","[0,12]",30,0,25
20,"[0,1]","[0,15]","[600,800]","[0,11]",30,0,25
21,"[0,1]","[0,10]","[400,600]","[0,10]",30,0,25
22,"[0,1]","[0,10]","[400,600]","[0,9]",30,0,25
23,"[0,1]","[0,10]","[400,600]","[0,8]",30,0,25
24,"[0,1]","[0,10]","[400,600]","[0,7]",30,0,25
25,"[0,1]","[0,10]","[400,600]","[0,6]",30,0,25
26,"[0,1]","[0,10]","[400,600]","[0,5]",20,0,25
27,"[0,1]","[0,10]","[400,600]","[0,4]",20,0,25
28,"[0,1]","[0,10]","[400,600]","[0,3]",20,0,25
29,"[0,1]","[0,10]","[400,600]","[0,2]",20,0,25
30,"[0,1]","[0,10]","[400,600]","[0,1]",20,0,15
31,"[0,1]","[0,10]","[400,600]","[0,15]",20,0,15
32,"[0,1]","[0,10]","[400,600]","[0,14]",20,0,15
33,"[0,1]","[0,10]","[400,600]","[0,13]",20,0,15
34,"[0,1]","[0,10]","[400,600]","[0,12]",20,0,15
35,"[0,1]","[0,10]","[400,600]","[0,11]",20,0,15
36,"[0,1]","[0,10]","[400,600]","[0,10]",20,0,15
37,"[0,1]","[0,10]","[400,600]","[0,9]",20,0,15
38,"[0,1]","[0,10]","[400,600]","[0,8]",20,0,15
39,"[0,1]","[0,10]","[400,600]","[0,7]",20,0,15
40,"[0,1]","[0,10]","[400,600]","[0,6]",20,0,10
41,"[0,1]","[0,10]","[400,600]","[0,5]",20,0,10
42,"[0,1]","[0,10]","[400,600]","[0,4]",20,0,10
43,"[0,1]","[0,10]","[400,600]","[0,3]",20,0,10
44,"[0,1]","[0,10]","[400,600]","[0,2]",20,0,10
45,"[0,1]","[0,10]","[400,600]","[0,1]",20,0,9
46,"[0,1]","[0,10]","[400,600]","[0,15]",20,0,9
47,"[0,1]","[0,10]","[400,600]","[0,14]",20,0,9
48,"[0,1]","[0,10]","[400,600]","[0,13]",20,0,8
49,"[0,1]","[0,10]","[400,600]","[0,12]",20,0,8
50,"[0,1]","[0,10]","[400,600]","[0,11]",20,0,8
51,"[0,2]","[0,15]","[200,400]","[0,10]",20,0,7
52,"[0,2]","[0,15]","[200,400]","[0,9]",20,0,7
53,"[0,2]","[0,15]","[200,400]","[0,8]",20,0,7
54,"[0,2]","[0,15]","[200,400]","[0,7]",20,0,6
55,"[0,2]","[0,15]","[200,400]","[0,6]",20,0,6
56,"[0,1]","[0,15]","[200,400]","[0,5]",20,0,6
57,"[0,1]","[0,15]","[200,400]","[0,4]",20,0,5
58,"[0,1]","[0,15]","[200,400]","[0,3]",20,0,5
59,"[0,1]","[0,15]","[200,400]","[0,2]",10,0,5
60,"[0,1]","[0,15]","[200,400]","[0,1]",10,0,4
61,"[0,1]","[0,15]","[200,400]","[0,15]",10,0,4
62,"[0,1]","[0,15]","[200,400]","[0,14]",10,0,3
63,"[0,1]","[0,15]","[200,400]","[0,13]",10,0,3
64,"[0,1]","[0,15]","[200,400]","[0,12]",10,0,2
65,"[0,1]","[0,15]","[200,400]","[0,11]",10,0,2
66,"[0,1]","[0,15]","[200,400]","[0,10]",10,0,1
67,"[0,1]","[0,15]","[200,400]","[0,9]",10,0,30
68,"[0,1]","[0,15]","[200,400]","[0,8]",10,0,30
69,"[0,1]","[0,15]","[200,400]","[0,7]",10,0,30
70,"[0,1]","[0,15]","[200,400]","[0,6]",10,0,30
71,"[0,1]","[0,10]","[200,400]","[0,5]",10,0,30
72,"[0,1]","[0,10]","[200,400]","[0,4]",10,0,30
73,"[0,1]","[0,10]","[200,400]","[0,3]",10,0,30
74,"[0,1]","[0,10]","[200,400]","[0,2]",10,0,30
75,"[0,1]","[0,10]","[200,400]","[0,1]",10,0,30
76,"[0,1]","[0,10]","[200,400]","[0,15]",10,0,20
77,"[0,1]","[0,10]","[200,400]","[0,14]",10,0,20
78,"[0,1]","[0,10]","[200,400]","[0,13]",10,0,20
79,"[0,1]","[0,10]","[200,400]","[0,12]",10,0,20
80,"[0,1]","[0,10]","[200,400]","[0,11]",10,0,20
81,"[0,1]","[0,10]","[200,400]","[0,10]",10,0,20
82,"[0,1]","[0,10]","[200,400]","[0,9]",10,0,20
83,"[0,1]","[0,10]","[200,400]","[0,8]",10,0,20
84,"[0,1]","[0,10]","[200,400]","[0,7]",10,0,20
85,"[0,1]","[0,10]","[200,400]","[0,6]",10,0,25
86,"[0,1]","[0,10]","[200,400]","[0,5]",10,0,25
87,"[0,1]","[0,10]","[200,400]","[0,4]",10,0,25
88,"[0,1]","[0,10]","[200,400]","[0,3]",10,0,25
89,"[0,1]","[0,10]","[200,400]","[0,2]",10,0,25
90,"[0,1]","[0,10]","[200,400]","[0,1]",10,0,25
91,"[0,1]","[0,10]","[200,400]","[0,15]",10,0,25
92,"[0,1]","[0,10]","[200,400]","[0,14]",10,0,25
93,"[0,1]","[0,10]","[200,400]","[0,13]",10,0,25
94,"[0,1]","[0,10]","[200,400]","[0,12]",10,0,25
95,"[0,1]","[0,10]","[200,400]","[0,11]",10,0,25
96,"[0,1]","[0,10]","[200,400]","[0,10]",10,0,15
97,"[0,1]","[0,10]","[200,400]","[0,9]",10,0,15
98,"[0,1]","[0,10]","[200,400]","[0,8]",10,0,15
99,"[0,1]","[0,10]","[200,400]","[0,7]",10,0,15
100,"[0,1]","[0,10]","[200,400]","[0,6]",10,0,15
101,"[0,2]","[0,15]","[200,400]","[0,5]",50,0,15
102,"[0,2]","[0,15]","[200,400]","[0,4]",50,0,15
103,"[0,2]","[0,15]","[200,400]","[0,3]",50,0,15
104,"[0,2]","[0,15]","[200,400]","[0,2]",40,0,15
105,"[0,2]","[0,15]","[200,400]","[0,1]",40,0,15
106,"[0,1]","[0,15]","[200,400]","[0,15]",40,0,10
107,"[0,1]","[0,15]","[200,400]","[0,14]",30,0,10
108,"[0,1]","[0,15]","[200,400]","[0,13]",30,0,10
109,"[0,1]","[0,15]","[200,400]","[0,12]",30,0,10
110,"[0,1]","[0,15]","[200,400]","[0,11]",30,0,10
111,"[0,1]","[0,15]","[200,400]","[0,10]",30,0,9
112,"[0,1]","[0,15]","[200,400]","[0,9]",30,0,9
113,"[0,1]","[0,15]","[200,400]","[0,8]",30,0,9
114,"[0,1]","[0,15]","[200,400]","[0,7]",30,0,8
115,"[0,1]","[0,15]","[200,400]","[0,6]",30,0,8
116,"[0,1]","[0,15]","[200,400]","[0,5]",30,0,8
117,"[0,1]","[0,15]","[200,400]","[0,4]",30,0,7
118,"[0,1]","[0,15]","[200,400]","[0,3]",30,0,7
119,"[0,1]","[0,15]","[200,400]","[0,2]",30,0,7
120,"[0,1]","[0,15]","[200,400]","[0,1]",30,0,6
121,"[0,1]","[0,10]","[200,400]","[0,15]",30,0,6
122,"[0,1]","[0,10]","[200,400]","[0,14]",30,0,6
123,"[0,1]","[0,10]","[200,400]","[0,13]",30,0,5
124,"[0,1]","[0,10]","[200,400]","[0,12]",30,0,5
125,"[0,1]","[0,10]","[200,400]","[0,11]",30,0,5
126,"[0,1]","[0,10]","[200,400]","[0,10]",20,0,4
127,"[0,1]","[0,10]","[200,400]","[0,9]",20,0,4
128,"[0,1]","[0,10]","[200,400]","[0,8]",20,0,3
129,"[0,1]","[0,10]","[200,400]","[0,7]",20,0,3
130,"[0,1]","[0,10]","[200,400]","[0,6]",20,0,2
131,"[0,1]","[0,10]","[200,400]","[0,5]",20,0,2
132,"[0,1]","[0,10]","[200,400]","[0,4]",20,0,1
133,"[0,1]","[0,10]","[200,400]","[0,3]",20,0,30
134,"[0,1]","[0,10]","[200,400]","[0,2]",20,0,30
135,"[0,1]","[0,10]","[200,400]","[0,1]",20,0,30
136,"[0,1]","[0,10]","[200,400]","[0,15]",20,0,30
137,"[0,1]","[0,10]","[200,400]","[0,14]",20,0,30
138,"[0,1]","[0,10]","[200,400]","[0,13]",20,0,30
139,"[0,1]","[0,10]","[200,400]","[0,12]",20,0,30
140,"[0,1]","[0,10]","[200,400]","[0,11]",20,0,30
141,"[0,1]","[0,10]","[200,400]","[0,10]",20,0,30
142,"[0,1]","[0,10]","[200,400]","[0,9]",20,0,20
143,"[0,1]","[0,10]","[200,400]","[0,8]",20,0,20
144,"[0,1]","[0,10]","[200,400]","[0,7]",20,0,20
145,"[0,1]","[0,10]","[200,400]","[0,6]",20,0,20
146,"[0,1]","[0,10]","[200,400]","[0,5]",20,0,20
147,"[0,1]","[0,10]","[200,400]","[0,4]",20,0,20
148,"[0,1]","[0,10]","[200,400]","[0,3]",20,0,20
149,"[0,1]","[0,10]","[200,400]","[0,2]",20,0,20
150,"[0,1]","[0,10]","[200,400]","[0,1]",20,0,20
151,"[0,2]","[0,15]","[200,400]","[0,15]",20,0,25
152,"[0,2]","[0,15]","[200,400]","[0,14]",20,0,25
153,"[0,2]","[0,15]","[200,400]","[0,13]",20,0,25
154,"[0,2]","[0,15]","[200,400]","[0,12]",20,0,25
155,"[0,2]","[0,15]","[200,400]","[0,11]",20,0,25
156,"[0,1]","[0,15]","[200,400]","[0,10]",20,0,25
157,"[0,1]","[0,15]","[200,400]","[0,9]",20,0,25
158,"[0,1]","[0,15]","[200,400]","[0,8]",20,0,25
159,"[0,1]","[0,15]","[200,400]","[0,7]",10,0,25
160,"[0,1]","[0,15]","[200,400]","[0,6]",10,0,25
161,"[0,1]","[0,15]","[200,400]","[0,5]",10,0,25
162,"[0,1]","[0,15]","[200,400]","[0,4]",10,0,15
163,"[0,1]","[0,15]","[200,400]","[0,3]",10,0,15
164,"[0,1]","[0,15]","[200,400]","[0,2]",10,0,15
165,"[0,1]","[0,15]","[200,400]","[0,1]",10,0,15
166,"[0,1]","[0,15]","[200,400]","[0,15]",10,0,15
167,"[0,1]","[0,15]","[200,400]","[0,14]",10,0,15
168,"[0,1]","[0,15]","[200,400]","[0,13]",10,0,15
169,"[0,1]","[0,15]","[200,400]","[0,12]",10,0,15
170,"[0,1]","[0,15]","[200,400]","[0,11]",10,0,15
171,"[0,1]","[0,10]","[200,400]","[0,10]",10,0,15
172,"[0,1]","[0,10]","[200,400]","[0,9]",10,0,10
173,"[0,1]","[0,10]","[200,400]","[0,8]",10,0,10
174,"[0,1]","[0,10]","[200,400]","[0,7]",10,0,10
175,"[0,1]","[0,10]","[200,400]","[0,6]",10,0,10
176,"[0,1]","[0,10]","[200,400]","[0,5]",10,0,10
177,"[0,1]","[0,10]","[200,400]","[0,4]",10,0,9
178,"[0,1]","[0,10]","[200,400]","[0,3]",10,0,9
179,"[0,1]","[0,10]","[200,400]","[0,2]",10,0,9
180,"[0,1]","[0,10]","[200,400]","[0,1]",10,0,8
181,"[0,1]","[0,10]","[200,400]","[0,15]",10,0,8
182,"[0,1]","[0,10]","[200,400]","[0,14]",10,0,8
183,"[0,1]","[0,10]","[200,400]","[0,13]",10,0,7
184,"[0,1]","[0,10]","[200,400]","[0,12]",10,0,7
185,"[0,1]","[0,10]","[200,400]","[0,11]",10,0,7
186,"[0,1]","[0,10]","[200,400]","[0,10]",10,0,6
187,"[0,1]","[0,10]","[200,400]","[0,9]",10,0,6
188,"[0,1]","[0,10]","[200,400]","[0,8]",10,0,6
189,"[0,1]","[0,10]","[200,400]","[0,7]",10,0,5
190,"[0,1]","[0,10]","[200,400]","[0,6]",10,0,5
191,"[0,1]","[0,10]","[200,400]","[0,5]",10,0,5
192,"[0,1]","[0,10]","[200,400]","[0,4]",10,0,4
193,"[0,1]","[0,10]","[200,400]","[0,3]",10,0,4
194,"[0,1]","[0,10]","[200,400]","[0,2]",10,0,3
195,"[0,1]","[0,10]","[200,400]","[0,1]",10,0,3
196,"[0,1]","[0,10]","[200,400]","[0,15]",10,0,2
197,"[0,1]","[0,10]","[200,400]","[0,14]",10,0,2
198,"[0,1]","[0,10]","[200,400]","[0,13]",10,0,1
199,"[0,1]","[0,10]","[200,400]","[0,12]",10,0,30
200,"[0,1]","[0,10]","[200,400]","[0,11]",10,0,30
201,"[0,2]","[0,15]","[200,400]","[0,10]",50,0,30
202,"[0,2]","[0,15]","[200,400]","[0,9]",50,0,30
203,"[0,2]","[0,15]","[200,400]","[0,8]",50,0,30
204,"[0,2]","[0,15]","[200,400]","[0,7]",40,0,30
205,"[0,2]","[0,15]","[200,400]","[0,6]",40,0,30
206,"[0,1]","[0,15]","[200,400]","[0,5]",40,0,30
207,"[0,1]","[0,15]","[200,400]","[0,4]",30,0,30
208,"[0,1]","[0,15]","[200,400]","[0,3]",30,0,20
209,"[0,1]","[0,15]","[200,400]","[0,2]",30,0,20
210,"[0,1]","[0,15]","[200,400]","[0,1]",30,0,20
211,"[0,1]","[0,15]","[200,400]","[0,15]",30,0,20
212,"[0,1]","[0,15]","[200,400]","[0,14]",30,0,20
213,"[0,1]","[0,15]","[200,400]","[0,13]",30,0,20
214,"[0,1]","[0,15]","[200,400]","[0,12]",30,0,20
215,"[0,1]","[0,15]","[200,400]","[0,11]",30,0,20
216,"[0,1]","[0,15]","[200,400]","[0,10]",30,0,20
217,"[0,1]","[0,15]","[200,400]","[0,9]",30,0,25
218,"[0,1]","[0,15]","[200,400]","[0,8]",30,0,25
219,"[0,1]","[0,15]","[200,400]","[0,7]",30,0,25
220,"[0,1]","[0,15]","[200,400]","[0,6]",30,0,25
221,"[0,1]","[0,10]","[200,400]","[0,5]",30,0,25
222,"[0,1]","[0,10]","[200,400]","[0,4]",30,0,25
223,"[0,1]","[0,10]","[200,400]","[0,3]",30,0,25
224,"[0,1]","[0,10]","[200,400]","[0,2]",30,0,25
225,"[0,1]","[0,10]","[200,400]","[0,1]",30,0,25
226,"[0,1]","[0,10]","[200,400]","[0,15]",20,0,25
227,"[0,1]","[0,10]","[200,400]","[0,14]",20,0,25
228,"[0,1]","[0,10]","[200,400]","[0,13]",20,0,15
229,"[0,1]","[0,10]","[200,400]","[0,12]",20,0,15
230,"[0,1]","[0,10]","[200,400]","[0,11]",20,0,15
231,"[0,1]","[0,10]","[200,400]","[0,10]",20,0,15
232,"[0,1]","[0,10]","[200,400]","[0,9]",20,0,15
233,"[0,1]","[0,10]","[200,400]","[0,8]",20,0,15
234,"[0,1]","[0,10]","[200,400]","[0,7]",20,0,15
235,"[0,1]","[0,10]","[200,400]","[0,6]",20,0,15
236,"[0,1]","[0,10]","[200,400]","[0,5]",20,0,15
237,"[0,1]","[0,10]","[200,400]","[0,4]",20,0,15
238,"[0,1]","[0,10]","[200,400]","[0,3]",20,0,10
239,"[0,1]","[0,10]","[200,400]","[0,2]",20,0,10
240,"[0,1]","[0,10]","[200,400]","[0,1]",20,0,10
241,"[0,1]","[0,10]","[200,400]","[0,15]",20,0,10
242,"[0,1]","[0,10]","[200,400]","[0,14]",20,0,10
243,"[0,1]","[0,10]","[200,400]","[0,13]",20,0,9
244,"[0,1]","[0,10]","[200,400]","[0,12]",20,0,9
245,"[0,1]","[0,10]","[200,400]","[0,11]",20,0,9
246,"[0,1]","[0,10]","[200,400]","[0,10]",20,0,8
247,"[0,1]","[0,10]","[200,400]","[0,9]",20,0,8
248,"[0,1]","[0,10]","[200,400]","[0,8]",20,0,8
249,"[0,1]","[0,10]","[200,400]","[0,7]",20,0,7
250,"[0,1]","[0,10]","[200,400]","[0,6]",20,0,7
251,"[0,1]","[0,10]","[200,400]","[0,5]",20,1,7
252,"[0,1]","[0,10]","[200,400]","[0,4]",20,1,6
253,"[0,1]","[0,10]","[200,400]","[0,3]",20,1,6
254,"[0,1]","[0,10]","[200,400]","[0,2]",20,1,6
255,"[0,1]","[0,10]","[200,400]","[0,1]",20,1,5
256,"[0,1]","[0,10]","[200,400]","[0,15]",20,1,5
257,"[0,1]","[0,10]","[200,400]","[0,14]",20,1,5
258,"[0,1]","[0,10]","[200,400]","[0,13]",20,1,4
259,"[0,1]","[0,10]","[200,400]","[0,12]",10,1,4
260,"[0,1]","[0,10]","[200,400]","[0,11]",10,1,3
261,"[0,1]","[0,10]","[200,400]","[0,10]",10,1,3
262,"[0,1]","[0,10]","[200,400]","[0,9]",10,1,2
263,"[0,1]","[0,10]","[200,400]","[0,8]",10,1,2
264,"[0,1]","[0,10]","[200,400]","[0,7]",10,1,1
265,"[0,1]","[0,10]","[200,400]","[0,6]",10,1,30
266,"[0,1]","[0,10]","[200,400]","[0,5]",10,1,30
267,"[0,1]","[0,10]","[200,400]","[0,4]",10,1,30
268,"[0,1]","[0,10]","[200,400]","[0,3]",10,1,30
269,"[0,1]","[0,10]","[200,400]","[0,2]",10,1,30
270,"[0,1]","[0,10]","[200,400]","[0,1]",10,1,30
271,"[0,1]","[0,10]","[200,400]","[0,15]",10,1,30
272,"[0,1]","[0,10]","[200,400]","[0,14]",10,1,30
273,"[0,1]","[0,10]","[200,400]","[0,13]",10,1,30
274,"[0,1]","[0,10]","[200,400]","[0,12]",10,1,20
275,"[0,1]","[0,10]","[200,400]","[0,11]",10,1,20
276,"[0,1]","[0,10]","[200,400]","[0,10]",10,1,20
277,"[0,1]","[0,10]","[200,400]","[0,9]",10,1,20
278,"[0,1]","[0,10]","[200,400]","[0,8]",10,1,20
279,"[0,1]","[0,10]","[200,400]","[0,7]",10,1,20
280,"[0,1]","[0,10]","[200,400]","[0,6]",10,1,20
281,"[0,1]","[0,10]","[200,400]","[0,5]",10,1,20
282,"[0,1]","[0,10]","[200,400]","[0,4]",10,1,20
283,"[0,1]","[0,10]","[200,400]","[0,3]",10,1,25
284,"[0,1]","[0,10]","[200,400]","[0,2]",10,1,25
285,"[0,1]","[0,10]","[200,400]","[0,1]",10,1,25
286,"[0,1]","[0,10]","[200,400]","[0,15]",10,1,25
287,"[0,1]","[0,10]","[200,400]","[0,14]",10,1,25
288,"[0,1]","[0,10]","[200,400]","[0,13]",10,1,25
289,"[0,1]","[0,10]","[200,400]","[0,12]",10,1,25
290,"[0,1]","[0,10]","[200,400]","[0,11]",10,1,25
291,"[0,1]","[0,10]","[200,400]","[0,10]",10,1,25
292,"[0,1]","[0,10]","[200,400]","[0,9]",10,1,25
293,"[0,1]","[0,10]","[200,400]","[0,8]",10,1,25
294,"[0,1]","[0,10]","[200,400]","[0,7]",10,1,15
295,"[0,1]","[0,10]","[200,400]","[0,6]",10,1,15
296,"[0,1]","[0,10]","[200,400]","[0,5]",10,1,15
297,"[0,1]","[0,10]","[200,400]","[0,4]",10,1,15
298,"[0,1]","[0,10]","[200,400]","[0,3]",10,1,15
299,"[0,1]","[0,10]","[200,400]","[0,2]",10,1,15
300,"[0,1]","[0,10]","[200,400]","[0,1]",10,1,15